City,Population,Plant,HCN_Result,ac1.3,ac2.2,ac5.3,li4.0,li7.0,li9.3,haplotype_Ac,haplotype_Li,haplotype_all,Distance,Habitat
Baltimore,16,1,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,46.5067610394727,Rural
Baltimore,16,2,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,46.5067610394727,Rural
Baltimore,16,5,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,46.5067610394727,Rural
Baltimore,16,11,0,0,0,0,0,0,0,unk,li>11,unk-li>11,46.5067610394727,Rural
Baltimore,17,6,0,0,0,1,0,0,1,ac5.3,li9.1,ac5.3-li9.1,44.4595725504248,Rural
Baltimore,17,9,0,0,0,1,0,0,1,ac5.3,li9.1,ac5.3-li9.1,44.4595725504248,Rural
Baltimore,17,10,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,44.4595725504248,Rural
Baltimore,17,14,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,44.4595725504248,Rural
Baltimore,17,15,0,0,9,1,0,1,1,unk,li6.6,unk-li6.6,44.4595725504248,Rural
Baltimore,18,12,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,42.6900494981811,Rural
Baltimore,18,15,0,0,1,0,0,1,1,unk,li6.6,unk-li6.6,42.6900494981811,Rural
Baltimore,21,5,0,NA,NA,1,NA,NA,NA,unk,unk,unk-unk,38.9937671491108,Rural
Baltimore,21,12,0,NA,NA,1,NA,NA,NA,unk,unk,unk-unk,38.9937671491108,Rural
Baltimore,22,1,0,0,0,1,0,0,0,ac5.3,li>11,ac5.3-li>11,37.8909976019959,Rural
Baltimore,22,3,0,1,1,1,0,1,0,Ac,li6.6DD,Ac-li6.6DD,37.8909976019959,Rural
Baltimore,2,2,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,0.691544150268506,Urban
Baltimore,2,4,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,0.691544150268506,Urban
Baltimore,2,9,0,0,1,1,1,1,1,ac2.2,Li,ac2.2-Li,0.691544150268506,Urban
Baltimore,2,10,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.691544150268506,Urban
Baltimore,2,13,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.691544150268506,Urban
Baltimore,2,14,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.691544150268506,Urban
Baltimore,4,4,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.794049111534702,Urban
Baltimore,4,5,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.794049111534702,Urban
