STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-19,1980,2,19,0,51,5.1,0,0,4.4,-2.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-20,1980,2,20,0.5,0,0,0,0,4.4,1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-21,1980,2,21,1,0,0,0,0,5.6,0.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-22,1980,2,22,12.2,0,0,0,0,5.6,1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-23,1980,2,23,0,0,0,0,0,2.8,0.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-24,1980,2,24,0,0,0,0,0,1.7,-1.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-25,1980,2,25,0.3,0,0,3,0.3,0,-10
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-26,1980,2,26,0.8,0,0,13,1.3,-5,-13.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-27,1980,2,27,0.5,25,2.5,8,0.8,-2.8,-6.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-28,1980,2,28,0.5,0,0,8,0.8,-4.4,-11.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-29,1980,2,29,0,0,0,0,0,-11.1,-17.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-01,1981,1,1,1.8,152,15.2,25,2.5,-1.7,-5.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-02,1981,1,2,0.3,178,17.8,5,0.5,-2.2,-11.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-03,1981,1,3,0.8,152,15.2,10,1,-10.6,-18.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-04,1981,1,4,0,152,15.2,0,0,-13.3,-24.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-05,1981,1,5,0,152,15.2,0,0,-8.3,-22.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-06,1981,1,6,7.1,152,15.2,74,7.4,-2.8,-10
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-07,1981,1,7,0,229,22.9,0,0,-2.8,-20
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-08,1981,1,8,0,203,20.3,0,0,-8.9,-23.3
