"City","Transect","Population","Distance","std_distance","n_HCN","sumHCN","freqHCN","n_Ac","sum_Ac","freqAc_marker","sum_acac","freq_acac","acHWE","AcHWE","n_Li","sum_Li","freqLi_marker","sum_lili","freq_lili","liHWE","LiHWE","Distance_squared","std_distance_squared"
"NewYork",NA,"4",31.8597906703818,0.717794155936734,20,3,0.15,18,4,0.222222222222222,14,0.777777777777778,0.881917103688197,0.118082896311803,18,14,0.777777777777778,4,0.222222222222222,0.471404520791032,0.528595479208968,1015.04626156055,0.515228450296929
"NewYork",NA,"40",38.117437644702,0.864116303567542,20,8,0.4,10,9,0.9,1,0.1,0.316227766016838,0.683772233983162,10,8,0.8,2,0.2,0.447213595499958,0.552786404500042,1452.93905259775,0.746696986091232
"NewYork",NA,"41",37.2897571473098,0.844762704934133,20,1,0.05,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,6,0.4,9,0.6,0.774596669241483,0.225403330758517,1390.52598810534,0.713624027647632
"NewYork",NA,"42",36.2545261897736,0.820555967541912,20,6,0.3,14,7,0.5,7,0.5,0.707106781186548,0.292893218813452,14,12,0.857142857142857,2,0.142857142857143,0.377964473009227,0.622035526990773,1314.39066924498,0.673312095868643
"NewYork",NA,"43",34.8593943649351,0.787933691840488,20,6,0.3,9,8,0.888888888888889,1,0.111111111111111,0.333333333333333,0.666666666666667,9,6,0.666666666666667,3,0.333333333333333,0.577350269189626,0.422649730810374,1215.17737549007,0.620839502737381
"NewYork",NA,"44",40.3632024052661,0.916628873258328,20,7,0.35,13,10,0.769230769230769,3,0.230769230769231,0.480384461415261,0.519615538584739,13,8,0.615384615384615,5,0.384615384615385,0.620173672946042,0.379826327053958,1629.18810840848,0.840208491290832
"NewYork",NA,"45",41.3864199749913,0.940554702393493,20,4,0.2,4,4,1,0,0,0,1,4,4,1,0,0,0,1,1712.83575834636,0.884643148194512
"NewYork",NA,"46",42.3436328071662,0.962937147091696,20,7,0.35,16,14,0.875,2,0.125,0.353553390593274,0.646446609406726,16,10,0.625,6,0.375,0.612372435695794,0.387627564304206,1792.98323930812,0.927247949249094
"NewYork",NA,"47",43.3469629413433,0.98639794962945,20,6,0.3,10,8,0.8,2,0.2,0.447213595499958,0.552786404500042,10,6,0.6,4,0.4,0.632455532033676,0.367544467966324,1878.95919623819,0.972980915033182
"NewYork",NA,"48",43.9286713889297,1,19,2,0.105263157894737,3,2,0.666666666666667,1,0.333333333333333,0.577350269189626,0.422649730810374,3,2,0.666666666666667,1,0.333333333333333,0.577350269189626,0.422649730810374,1929.72816999657,1
"NewYork",NA,"5",31.043017980775,0.698695613855357,20,4,0.2,7,4,0.571428571428571,3,0.428571428571429,0.654653670707977,0.345346329292023,7,6,0.857142857142857,1,0.142857142857143,0.377964473009227,0.622035526990773,963.66896535472,0.488175560820715
"NewYork",NA,"6",29.9781011845801,0.673794734450238,20,2,0.1,14,8,0.571428571428571,6,0.428571428571429,0.654653670707977,0.345346329292023,14,8,0.571428571428571,6,0.428571428571429,0.654653670707977,0.345346329292023,898.686550632923,0.453999344172867
"NewYork",NA,"7",29.2135200285547,0.655916583565922,20,2,0.1,5,3,0.6,2,0.4,0.632455532033676,0.367544467966324,5,3,0.6,2,0.4,0.632455532033676,0.367544467966324,853.429752458767,0.430226564596791
"NewYork",NA,"8",27.9424590929313,0.626195449306787,20,5,0.25,19,13,0.684210526315789,6,0.315789473684211,0.561951486949016,0.438048513050984,19,10,0.526315789473684,9,0.473684210526316,0.688247201611685,0.311752798388315,780.781020160139,0.392120740732529
"NewYork",NA,"9",26.9411847851336,0.602782718022049,20,3,0.15,16,6,0.375,10,0.625,0.790569415042095,0.209430584957905,16,12,0.75,4,0.25,0.5,0.5,725.827437626714,0.363347005146049
"Norfolk",NA,"1",36.2893004805217,1,15,11,0.733333333333333,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,1316.91332936559,1
"Norfolk",NA,"10",28.873420821132,0.794654870609682,14,5,0.357142857142857,14,11,0.785714285714286,3,0.214285714285714,0.462910049886276,0.537089950113724,14,7,0.5,7,0.5,0.707106781186548,0.292893218813452,833.674429914179,0.63147636338369
"Norfolk",NA,"11",28.0544915955349,0.771978784222704,14,2,0.142857142857143,14,12,0.857142857142857,2,0.142857142857143,0.377964473009227,0.622035526990773,14,3,0.214285714285714,11,0.785714285714286,0.886405260427918,0.113594739572082,787.054498683938,0.595951243289965
"Norfolk",NA,"12",26.5977001131975,0.731640341694646,15,13,0.866666666666667,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,707.437651311586,0.535297589595059
"Norfolk",NA,"13",25.3836623466927,0.698023730625181,15,2,0.133333333333333,15,5,0.333333333333333,10,0.666666666666667,0.816496580927726,0.183503419072274,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,644.330314130905,0.487237128515895
"Norfolk",NA,"14",23.7337610743767,0.652338093073606,15,8,0.533333333333333,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,563.291414735599,0.425544987674908
"Norfolk",NA,"15",22.5591755518048,0.619813911561689,15,9,0.6,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,508.916401577147,0.384169284965401
"Norfolk",NA,"16",21.1564124668644,0.580971511143779,15,11,0.733333333333333,15,15,1,0,0,0,1,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,447.593788468095,0.337527896760686
"Norfolk",NA,"17",20.2389917003923,0.555568201671511,15,4,0.266666666666667,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,7,0.466666666666667,8,0.533333333333333,0.730296743340221,0.269703256659779,409.616785048548,0.308656026708516
"Norfolk",NA,"18",18.9330305255408,0.519406238594202,15,9,0.6,15,15,1,0,0,0,1,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,358.45964488106,0.269782840690577
"Norfolk",NA,"19",17.6956535264082,0.485143365993543,15,13,0.866666666666667,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,313.136153726683,0.235364085567545
"Norfolk",NA,"2",35.4099520606665,0.97565091083622,15,12,0.8,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,1253.8647049387,0.951894699815547
"Norfolk",NA,"20",16.6898818283597,0.457293626116577,15,7,0.466666666666667,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,278.552155444611,0.209117460486847
"Norfolk",NA,"21",15.5776339016196,0.426495567771418,14,5,0.357142857142857,13,7,0.538461538461538,6,0.461538461538462,0.679366220486757,0.320633779513243,13,10,0.769230769230769,3,0.230769230769231,0.480384461415261,0.519615538584739,242.662677972888,0.181898469328664
"Norfolk",NA,"22",14.4363494051164,0.394893489074135,14,6,0.428571428571429,14,7,0.5,7,0.5,0.707106781186548,0.292893218813452,14,10,0.714285714285714,4,0.285714285714286,0.534522483824849,0.465477516175151,208.408184146605,0.155940867713144
"Norfolk",NA,"23",13.0170829165519,0.355594110697005,15,5,0.333333333333333,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,169.444447656387,0.126447171562394
"Norfolk",NA,"24",11.7285773257691,0.319915491381165,15,3,0.2,14,7,0.5,7,0.5,0.707106781186548,0.292893218813452,14,5,0.357142857142857,9,0.642857142857143,0.801783725737273,0.198216274262727,137.559526086545,0.102345921625653
