City,Population,Transect,Lat.pop,Long.pop
Washington D.C.,3,NA,39.247967,-77.357548
Washington D.C.,4,NA,39.244985,-77.340939
Washington D.C.,5,NA,39.242638,-77.322114
Washington D.C.,6,NA,39.231935,-77.329001
Washington D.C.,7,NA,39.218401,-77.331079
Washington D.C.,8,NA,39.200334,-77.326746
Washington D.C.,9,NA,39.193239,-77.334808
Washington D.C.,10,NA,39.181441,-77.35294
Washington D.C.,11,NA,39.137957,-77.355568
Washington D.C.,12,NA,39.128379,-77.341539
Washington D.C.,13,NA,39.12447,-77.323035
Washington D.C.,14,NA,39.101591,-77.294314
Washington D.C.,15,NA,39.085934,-77.297883
Washington D.C.,16,NA,39.068703,-77.283129
Washington D.C.,17,NA,39.057232,-77.277096
Washington D.C.,18,NA,39.046957,-77.264215
Washington D.C.,19,NA,39.039745,-77.24977
Washington D.C.,20,NA,39.027263,-77.231706
Washington D.C.,21,NA,39.024098,-77.218691
Washington D.C.,22,NA,39.004835,-77.188111
Washington D.C.,23,NA,38.996606,-77.169563
Washington D.C.,24,NA,38.992792,-77.162234
Washington D.C.,25,NA,38.989774,-77.152914
Washington D.C.,26,NA,38.982622,-77.13698
Washington D.C.,27,NA,38.975342,-77.126108
Washington D.C.,28,NA,38.969818,-77.116409
Washington D.C.,29,NA,38.964794,-77.104459
Washington D.C.,30,NA,38.958192,-77.097221
Washington D.C.,31,NA,38.95265,-77.085875
Washington D.C.,32,NA,38.946952,-77.079211
Washington D.C.,33,NA,38.934867,-77.074225
Washington D.C.,34,NA,38.927382,-77.072054
Washington D.C.,35,NA,38.92029,-77.06371
Washington D.C.,36,NA,38.91473,-77.054289
Washington D.C.,37,NA,38.910412,-77.045802
Washington D.C.,38,NA,38.901136,-77.039346
Washington D.C.,39,NA,38.89516,-77.039509
Washington D.C.,40,NA,38.895116,-77.036635
Washington D.C.,41,NA,38.890812,-77.034774
Washington D.C.,42,NA,38.879933,-77.036036
Washington D.C.,43,NA,38.890721,-77.049072
Washington D.C.,44,NA,38.889207,-77.012558
Washington D.C.,45,NA,38.885554,-77.000069
Baltimore,1,NA,39.279466,-76.622552
Baltimore,2,NA,39.286326,-76.618277
Baltimore,3,NA,39.289808,-76.607076
Baltimore,4,NA,39.292156,-76.603251
Baltimore,5,NA,39.291522,-76.618313
Baltimore,6,NA,39.301304,-76.618488
Baltimore,7,NA,39.295251,-76.628517
Baltimore,8,NA,39.305648,-76.637121
Baltimore,9,NA,39.315949,-76.641027
Baltimore,10,NA,39.322485,-76.64946
Baltimore,11,NA,39.330882,-76.654304
Baltimore,12,NA,39.33857,-76.656842
Baltimore,13,NA,39.490976,-77.156539
Baltimore,14,NA,39.499079,-77.143471
Baltimore,15,NA,39.506927,-77.101084
Baltimore,16,NA,39.515313,-77.068531
Baltimore,17,NA,39.516752,-77.038731
Baltimore,18,NA,39.503057,-77.025813
Baltimore,20,NA,39.494701,-77.003874
Baltimore,21,NA,39.48531,-76.989376
Baltimore,22,NA,39.488458,-76.970971
Baltimore,23,NA,39.480905,-76.954726
Baltimore,24,NA,39.468334,-76.93907
Baltimore,25,NA,39.469511,-76.90166
Baltimore,26,NA,39.448806,-76.896654
Baltimore,27,NA,39.446347,-76.872001
Baltimore,28,NA,39.449091,-76.84811
Baltimore,29,NA,39.443285,-76.819023
Baltimore,30,NA,39.438022,-76.80322
Baltimore,31,NA,39.426723,-76.789623
Baltimore,32,NA,39.417222,-76.777595
Baltimore,33,NA,39.407864,-76.763912
Baltimore,34,NA,39.396042,-76.751058
Baltimore,35,NA,39.385845,-76.736265
Baltimore,36,NA,39.374997,-76.724809
Baltimore,37,NA,39.36363,-76.712856
Baltimore,38,NA,39.352313,-76.700422
Baltimore,39,NA,39.344289,-76.68596
Baltimore,40,NA,39.339674,-76.676277
Philadelphia,1,NA,39.932978,-75.164773
Philadelphia,2,NA,39.941554,-75.162129
Philadelphia,3,NA,39.95526,-75.151688
Philadelphia,4,NA,39.949904,-75.150506
Philadelphia,5,NA,39.949243,-75.169072
Philadelphia,6,NA,39.957389,-75.1718
Philadelphia,7,NA,39.950409,-75.191503
Philadelphia,8,NA,39.954033,-75.201998
Philadelphia,9,NA,39.956727,-75.213349
Philadelphia,10,NA,39.953399,-75.225836
Philadelphia,11,NA,39.958481,-75.239426
Philadelphia,12,NA,39.95529,-75.250164
Philadelphia,13,NA,40.143048,-75.738781
Philadelphia,14,NA,40.143642,-75.705376
Philadelphia,15,NA,40.13075,-75.691885
Philadelphia,16,NA,40.125979,-75.671953
Philadelphia,17,NA,40.114243,-75.654742
