City,Population,Transect,Lat.pop,Long.pop,MWT,MST
Atlanta,2,NA,33.578665000000001,-84.680070999999998,-1.20000,32.50000
Atlanta,3,NA,33.575252999999996,-84.671088999999995,-1.20000,32.50000
Atlanta,4,NA,33.572524000000001,-84.662848999999994,-1.20000,32.50000
Atlanta,5,NA,33.572718999999999,-84.651049000000000,-1.20000,32.50000
Atlanta,6,NA,33.571767999999999,-84.638090000000005,-1.10000,32.50000
Atlanta,7,NA,33.575296000000002,-84.630425000000002,-1.10000,32.40000
Atlanta,8,NA,33.573607000000003,-84.619066000000004,-1.10000,32.40000
Atlanta,9,NA,33.574739000000001,-84.609136000000007,-1.00000,32.40000
Atlanta,10,NA,33.574917999999997,-84.598910000000004,-0.90000,32.40000
Atlanta,11,NA,33.568860000000001,-84.584804000000005,-0.90000,32.40000
Atlanta,12,NA,33.569994999999999,-84.574178000000003,-0.80000,32.40000
Atlanta,13,NA,33.576850000000000,-84.559421000000000,-0.80000,32.30000
Atlanta,14,NA,33.583024000000002,-84.549447000000001,-0.70000,32.40000
Atlanta,15,NA,33.595387000000002,-84.546820999999994,-0.80000,32.40000
Atlanta,16,NA,33.604207000000002,-84.537996000000007,-0.80000,32.40000
Atlanta,17,NA,33.607253999999998,-84.529741999999999,-0.80000,32.40000
Atlanta,18,NA,33.611845000000002,-84.519007000000002,-0.80000,32.40000
Atlanta,19,NA,33.619171999999999,-84.510247000000007,-0.70000,32.30000
Atlanta,20,NA,33.620711999999997,-84.503996999999998,-0.60000,32.30000
Atlanta,21,NA,33.622625999999997,-84.488883999999999,-0.40000,32.30000
Atlanta,22,NA,33.624875000000003,-84.477394000000004,-0.30000,32.30000
Atlanta,23,NA,33.632218000000002,-84.468451999999999,-0.10000,32.30000
Atlanta,24,NA,33.641731999999998,-84.467682999999994,0.00000,32.30000
Atlanta,25,NA,33.651933999999997,-84.470665999999994,0.00000,32.40000
Atlanta,26,NA,33.660549000000003,-84.468862000000001,0.00000,32.30000
Atlanta,27,NA,33.666758999999999,-84.465385999999995,0.00000,32.20000
Atlanta,28,NA,33.671273999999997,-84.460025000000002,0.00000,32.20000
Atlanta,29,NA,33.675384000000001,-84.448907000000005,0.10000,32.20000
Atlanta,30,NA,33.680742000000002,-84.440582000000006,0.10000,32.20000
Atlanta,31,NA,33.696143999999997,-84.432528000000005,0.10000,32.10000
Atlanta,32,NA,33.717523000000000,-84.427055999999993,-0.10000,32.00000
Atlanta,33,NA,33.731223000000000,-84.419372999999993,0.00000,32.10000
Atlanta,34,NA,33.744458000000002,-84.417923000000002,0.00000,32.10000
Atlanta,35,NA,33.737150000000000,-84.403284999999997,0.00000,32.20000
Atlanta,36,NA,33.740698000000002,-84.393073999999999,0.00000,32.30000
Atlanta,37,NA,33.747999999999998,-84.390478999999999,0.00000,32.30000
Atlanta,38,NA,33.754412000000002,-84.385007999999999,0.00000,32.10000
Atlanta,39,NA,33.760478999999997,-84.381855000000002,0.10000,32.30000
Atlanta,40,NA,33.766849000000001,-84.385062000000005,0.00000,32.20000
Atlanta,41,NA,33.768616000000002,-84.382137999999998,0.00000,32.30000
Atlanta,42,NA,33.770817999999998,-84.376497000000001,0.00000,32.30000
Atlanta,43,NA,33.769179999999999,-84.363642999999996,0.00000,32.40000
Atlanta,44,NA,33.770606000000001,-84.357176999999993,0.00000,32.20000
Atlanta,45,NA,33.772432000000002,-84.350374000000002,0.00000,32.20000
Charlotte,1,NA,35.211202999999998,-80.866152000000000,-1.50000,32.30000
Charlotte,2,NA,35.215639000000003,-80.857093000000006,-1.50000,32.30000
Charlotte,3,NA,35.220334000000001,-80.851472999999999,-1.50000,32.30000
Charlotte,4,NA,35.225256000000002,-80.837693000000002,-1.50000,32.30000
Charlotte,5,NA,35.230693000000002,-80.842917999999997,-1.50000,32.20000
Charlotte,6,NA,35.234377000000002,-80.845950999999999,-1.50000,32.30000
Charlotte,7,NA,35.227885999999998,-80.850384000000005,-1.50000,32.40000
